Ax (g),Ay (g),Az (g),Gx (dps),Gy (dps),Gz (dps),Temp (degC),engine_speed (rpm),vehicle_speed (km/h),engine_load (%),throttle_position (%),distance_traveled_mil (km),o2_volt1 (V),o2_volt2 (V),o2_curr1 (A),o2_curr2 (A)
0.0239,  -0.0834,  2.0354,  7.6300,  -9.5200,  -4.4100,  21.7031,  1030.0000,  50.0000,  49.8039,  20.0000,  0.0000,  0.0000,  0.0000,  -128.0000,  -128.0000
0.0351,  -0.0830,  2.0354,  10.3600,  -20.0200,  -4.4100,  21.6953,  1030.0000,  50.0000,  49.8039,  20.0000,  0.0000,  0.0000,  0.0000,  -128.0000,  -128.0000
0.0224,  -0.0781,  2.0359,  4.9700,  -11.2700,  -5.3200,  21.7383,  1030.0000,  50.0000,  49.8039,  20.0000,  0.0000,  0.0000,  0.0000,  -128.0000,  -128.0000
0.0215,  -0.0830,  2.0423,  3.2200,  -8.6800,  -2.6600,  21.7031,  1030.0000,  50.0000,  49.8039,  20.0000,  0.0000,  0.0000,  0.0000,  -128.0000,  -128.0000
0.0317,  -0.0810,  2.0408,  1.4000,  -5.1800,  4.4100,  21.7148,  1030.0000,  50.0000,  49.8039,  20.0000,  0.0000,  0.0000,  0.0000,  -128.0000,  -128.0000
0.0254,  -0.0810,  2.0350,  0.4900,  -10.4300,  -0.9100,  21.7148,  1030.0000,  50.0000,  49.8039,  20.0000,  0.0000,  0.0000,  0.0000,  -128.0000,  -128.0000
0.0264,  -0.0849,  2.0379,  0.4900,  -8.6800,  -0.8400,  21.7305,  1030.0000,  50.0000,  49.8039,  20.0000,  0.0000,  0.0000,  0.0000,  -128.0000,  -128.0000
0.0293,  -0.0839,  2.0408,  8.5400,  -12.1800,  -3.5700,  21.7148,  1030.0000,  50.0000,  49.8039,  20.0000,  0.0000,  0.0000,  0.0000,  -128.0000,  -128.0000
0.0195,  -0.0795,  2.0428,  1.4000,  -0.7700,  -2.6600,  21.7148,  1030.0000,  50.0000,  49.8039,  20.0000,  0.0000,  0.0000,  0.0000,  -128.0000,  -128.0000
0.0283,  -0.0815,  2.0345,  6.7900,  -5.1800,  3.5700,  21.6797,  1030.0000,  50.0000,  49.8039,  20.0000,  0.0000,  0.0000,  0.0000,  -128.0000,  -128.0000
0.0220,  -0.0844,  2.0359,  13.0200,  -10.4300,  -1.8200,  21.7148,  1030.0000,  50.0000,  49.8039,  20.0000,  0.0000,  0.0000,  0.0000,  -128.0000,  -128.0000
0.0249,  -0.0854,  2.0354,  -0.3500,  -6.0200,  6.2300,  21.6562,  1030.0000,  50.0000,  49.8039,  20.0000,  0.0000,  0.0000,  0.0000,  -128.0000,  -128.0000
0.0195,  -0.0844,  2.0350,  1.4000,  -11.2700,  -2.6600,  21.7227,  1030.0000,  50.0000,  49.8039,  20.0000,  0.0000,  0.0000,  0.0000,  -128.0000,  -128.0000
0.0264,  -0.0805,  2.0335,  4.9700,  -6.0200,  0.9100,  21.6719,  1030.0000,  50.0000,  49.8039,  20.0000,  0.0000,  0.0000,  0.0000,  -128.0000,  -128.0000
0.0254,  -0.0830,  2.0384,  -4.8300,  -1.6800,  4.4100,  21.7305,  1030.0000,  50.0000,  49.8039,  20.0000,  0.0000,  0.0000,  0.0000,  -128.0000,  -128.0000
0.0268,  -0.0805,  2.0354,  -2.1700,  -9.5200,  -6.2300,  21.7148,  1030.0000,  50.0000,  49.8039,  20.0000,  0.0000,  0.0000,  0.0000,  -128.0000,  -128.0000
0.0210,  -0.0791,  2.0418,  -3.0800,  -8.6800,  0.0000,  21.7578,  1030.0000,  50.0000,  49.8039,  20.0000,  0.0000,  0.0000,  0.0000,  -128.0000,  -128.0000
0.0283,  -0.0888,  2.0394,  0.4900,  -2.5200,  -3.5700,  21.7148,  1030.0000,  50.0000,  49.8039,  20.0000,  0.0000,  0.0000,  0.0000,  -128.0000,  -128.0000
0.0259,  -0.0815,  2.0398,  4.9700,  -20.0200,  -4.4100,  21.7227,  1030.0000,  50.0000,  49.8039,  20.0000,  0.0000,  0.0000,  0.0000,  -128.0000,  -128.0000
0.0205,  -0.0820,  2.0359,  7.6300,  -10.4300,  -9.7300,  21.7461,  1030.0000,  50.0000,  49.8039,  20.0000,  0.0000,  0.0000,  0.0000,  -128.0000,  -128.0000
0.0190,  -0.0820,  2.0359,  4.0600,  -10.4300,  -7.0700,  21.7227,  1030.0000,  50.0000,  49.8039,  20.0000,  0.0000,  0.0000,  0.0000,  -128.0000,  -128.0000
0.0259,  -0.0839,  2.0340,  4.0600,  -6.9300,  -3.5700,  21.6875,  1030.0000,  50.0000,  49.8039,  20.0000,  0.0000,  0.0000,  0.0000,  -128.0000,  -128.0000
0.0176,  -0.0903,  2.0379,  -1.2600,  -2.5200,  2.6600,  21.6641,  1030.0000,  50.0000,  49.8039,  20.0000,  0.0000,  0.0000,  0.0000,  -128.0000,  -128.0000
0.0229,  -0.0810,  2.0315,  2.3100,  -9.5200,  -5.3200,  21.7383,  1030.0000,  50.0000,  49.8039,  20.0000,  0.0000,  0.0000,  0.0000,  -128.0000,  -128.0000
